seconds,processes,cpu_machine_percent,working_set_mb,private_mb
1250.4,7,0.386,360.99,156.24
1255.4,7,0.386,360.99,156.24
1260.5,7,0.206,360.99,156.24
1265.6,7,0.541,360.99,156.24
1270.6,7,0.334,360.99,156.24
1275.7,7,0.386,360.99,156.24
1280.7,7,0.283,360.97,156.22
1285.8,7,0.386,360.97,156.22
1290.9,7,0.283,360.97,156.22
1295.9,7,0.334,360.99,156.22
1301.0,7,0.232,360.99,156.22
1306.0,7,0.180,360.99,156.22
1311.1,7,0.154,360.99,156.22
1316.2,7,0.360,360.99,156.22
1321.2,7,0.386,360.99,156.22
1326.3,7,0.308,360.99,156.23
1331.4,7,0.411,360.99,156.23
1336.4,7,0.360,360.99,156.23
1341.5,7,0.386,360.99,156.23
1346.6,7,0.462,360.99,156.23
1351.6,7,0.359,361.04,156.27
1356.7,7,0.308,361.01,156.23
1361.8,7,0.386,361.01,156.23
1366.8,7,0.463,361.01,156.23
1371.9,7,0.386,361.02,156.23
1377.0,7,0.412,361.02,156.23
1382.0,7,0.360,361.00,156.17
1387.1,7,0.360,360.99,156.18
1392.1,7,0.540,360.99,156.18
1397.2,7,0.567,360.99,156.18
1402.3,7,0.515,360.99,156.18
1407.3,7,0.618,361.02,156.23
1412.4,7,0.490,361.05,156.27
1417.4,7,0.515,361.06,156.29
1422.5,7,0.437,361.06,156.29
1427.5,7,0.335,361.06,156.29
1432.6,7,0.437,361.06,156.29
1437.7,7,0.360,361.06,156.29
1442.7,7,0.463,361.02,156.23
1447.8,7,0.361,361.05,156.29
1452.9,7,0.411,361.05,156.29
1457.9,7,0.360,361.05,156.29
1463.0,7,0.335,361.05,156.29
1468.0,7,0.489,361.05,156.28
1473.1,7,0.437,361.05,156.29
1478.2,7,0.309,361.05,156.29
1483.2,7,0.438,361.05,156.29
1488.3,7,0.386,361.05,156.29
1493.3,7,0.361,361.05,156.29
1498.4,7,0.489,361.05,156.29
1503.5,7,0.386,361.07,156.29
1508.5,7,0.386,361.07,156.29
1513.6,7,0.593,361.07,156.29
1518.6,7,0.386,361.07,156.29
1523.7,7,0.437,361.03,156.23
1528.8,7,0.308,361.02,156.22
1533.8,7,0.591,361.03,156.23
1538.9,7,0.335,361.03,156.23
1544.0,7,0.334,361.03,156.23
1549.0,7,0.462,361.03,156.23
1554.1,7,0.412,361.03,156.23
1559.1,7,0.567,361.03,156.23
1564.2,7,0.489,361.02,156.22
